Birthday,ColorName,ColorNameKana,ColorCode,ColorWords,Personality
06/30,薄群青,うすぐんじょう,#5383c3,個性・理想・向上心,周囲を飲みこむような魅力の持ち主
07/01,ダックブルー,Duck Blue,#007199,平和・空想・環境問題,地球を一つの生命体と考えるエコロジスト
07/02,コバルトブルー,Cobalt Blue,#0068b7,手際よさ・整った身なり・繊細,感性豊かな洗練された都会派
07/03,インクブルー,Ink Blue,#003f8e,気品・耐える人・自信,人も羨むほどの自信家
07/04,アクア,Aqua,#3fb5d3,静穏・崇高・自己発展,心理状態を上手にコントロールできる人
07/05,ペールサックスブルー,Peer Sax Blue,#4593A0,感性・自由・秘めた情熱,愛情に満ちた静かな気質の人
07/06,新橋色,しんばしいろ,#59b9c6,状況判断・意思決定力・信念,前向きな姿勢で仕事も生活も楽しめる人
07/07,ブルーカナール,Blue Canal,#016171,聡明・大望・チャンス,一を聞いて十を知る多才さが魅力の人
07/08,マリンブルー,Marine Blue,#006888,多芸多才・努力・落ち着き,努力により真理を追究する情熱家
07/09,パールホワイト,Pearl White,#f7f6f5,秘密・孤独・正義感,人から頼られることを好む高潔な人物
07/10,ペールパステルブルー,Peer Pastel Blue,#608fc3,優しさ・甘美・謙虚,女性の美しさを象徴する人
07/11,ラベンダーブルー,Lavender Blue,#5371ad,礼儀・審美眼・色彩感,人をうっとりさせる魅力のある人
07/12,マジョリカブルー,Majorica Blue,#044182,教養・上品・幸せな未来,真理を追究する人びとの指導者
07/13,紺青,こんじょう,#192f60,自尊心・滅私奉公・直観力,不幸な人を見過ごせない慈悲深い人
07/14,ディープベビーピンク,Deep Baby Pink,#fdede6,感性・真心・温かさ,前向きな姿勢で仕事も生活も楽しめる人
07/15,ペールモーベッド,Peer Mho Bet,#b370a6,繊細・暗示・慎み深さ,かわいいものに引かれる優美な人
07/16,ファウンテンブルー,Fountain Blue,#94adda,踊りと音楽・自由・個性,自由奔放な生活を望む人
07/17,サルビアブルー,Salvia Blue,#6b76ae,経営力・洗練・機知,道を究めるべくして存在する女性
07/18,ロイヤルパープル,Royal Purple,#7f1184,知性・神秘性・ほのかな香り,助けた人はみな成功する才覚の持ち主
07/19,ディープシェルピンク,Deep Shell Pink,#f7a7a0,繊細・人を楽しませる・温かさ,いつも慎ましい変わらぬ愛の持ち主
07/20,小麦色,こむぎいろ,#e49e61,思いやり・空想的・感受性,優美さに恵まれた妖精のような女性
07/21,ハバナローズ,Havana Rose,#c56950,奥ゆかしさ・躍動・母性愛,美しさと礼儀正しさが一体となった人
07/22,臙脂,えんじ,#b94047,支持・向上心・弾力的思考,自分の力量を自覚し向上させる人
07/23,茜色,あかねいろ,#b7282e,厳格・可能性・積極性,世界的視野を持つ穏健派
07/24,キューピッドピンク,Cupid Pink,#f5949f,ほほえみ・良識・質素,飾り気のない香気で人を陶酔させる美人
07/25,ロータスピンク,Lotus Pink,#de82a7,永久不変の理念・明るさ・献身と抵抗,気品ある精神の持ち主
07/26,ローズマダー,Rose Mader,#af363b,愛敬・優雅・ユーモア,人の内面に響く言動で感動させる情熱家
07/27,クリムソン,Crimson,#8d3446,経験・才能・行動力,女性の成熟が混在する多感な人
07/28,黒柿色,くろがきいろ,#404040,ユーモア・ナイーブ・英知,気高い理想と洗練された精神を宿す情熱家
07/29,セルリアンブルー,Cerulean Blue,#008db7,誠実・霊感・思いやり,真心を込めて人に接する優しい気持ちの持ち主
07/30,ピーコックブルー,Peacock Blue,#009e9f,深い愛情・調和・友情,自分を知り向上できる人
07/31,プルシアンブルー,Pull Cyan Blue,#044d78,神秘的・クールな印象・明るさ,表情に表さなくても心の奥で感動する人
08/01,ブルーシェル,Blue Shell,#438cb5,社交的・我慢と根気・誠実,だれにでも誠実に対応できる社交的な人
08/02,ペールヨットブルー,Peer Yacht Blue,#0098d4,知能・責任・スピーディ,内向的で格式ばったことを好む保守主義者
08/03,ヨットブルー,Yacht Blue,#409ecc,謹厳実直・完全主義・人脈づくり,人を心の底から信じる頼もしい人格者
08/04,シアンブルー,Cyan Blue,#0063a7,気高さ・品格・頂点,粘り強く困難に立向う忍耐力のある人
08/05,瑠璃色,るりいろ,#1e50a2,人間性・おだやか・信頼・尊敬,人に愛される人、信頼される人、尊敬される人
08/06,ラピスラズリー,Lapis Lazuli,#004c97,粗野と高貴・意思決定力・教養,思いやりに満ちた知的な人
08/07,ロイヤルブルー,Royal Blue,#02428c,チャーミング・機知・芸術愛好,知ることを求めて突き進む探検家
08/08,紺瑠璃,こんるり,#164a84,神秘的直観・素朴な疑問・勝負,直観の彼方を見つめつづける人
08/09,ネービーブルー,Navy Blue,#202f55,知的・文化・洗練,俗悪なものを嫌うロマンチスト
08/10,ハイドレンジアブルー,Hyde Renzia Blue,#3f61a1,芸術・才能・表現力・心優しい,感性を磨いて美しく表す芸術家
08/11,桑の実色,くわのみいろ,#55295b,直観・信念・宗教,精神的なものに感じやすい神秘主義者
08/12,藤鼠,ふじねず,#a6a5c4,情熱・孤独・節度,自分の存在を見つめるロマンチスト
08/13,白郡,びゃくぐん,#83ccd2,感性・機敏・信念,堅実な人柄で信頼と尊敬を集める人
08/14,ミヨゾティ,Myosotis,#4cb8e7,輝く美声・生気・表現力,人の心を高みに誘う美声の持ち主
08/15,黄色,きいろ,#ffd911,機知・優しい心・家庭的,温かい愛情に包まれて育った聡明な人
08/16,ライトクリーム,Light Cream,#fffa9c,感性の蓄え・意思・リズム感,感性を動きとリズムで表現する天才
08/17,プリムローズイエロー,Primrose Yellow,#fff97d,愛と友情・好奇心・探求心,色とりどりの少女時代を送った無垢な人
08/18,柑子色,こうじいろ,#f6ad49,至高の精神・明朗・自由闊達,精神を重視する賢者
08/19,ゴールデンオレンジ,Golden Orange,#f79101,自分本位・一番乗り・健康,No.1を求める誇り高き人
08/20,蜜柑色,みかんいろ,#f08300,エネルギー・大望・現実的,心身ともに健康な現実主義者
08/21,肉桂色,にっけいいろ,#dd7a56,エネルギー・人間関係・情勢分析,バランスをとり全体をまとめる指導者
08/22,ゴールデンコーン,Golden Corn,#ffcc83,感情移入・創作力・人間関係,ユニークに広がる心の持ち主
08/23,ディープサンフラワー,Deep Sunflower,#feae01,タイミング・行動のリズム・美学のセンス,ものごとを両面から見てとれる創造者
08/24,イエローオーカー,Yellow Ocher,#c4972f,努力・トレーニング・行動,自分をより高めようとする努力家
08/25,バフ,Buff,#caac71,節度・平和・優雅,人間関係を大切にする礼儀正しい人
08/26,煙草色,たばこいろ,#7d541c,堅実・組織力・現実主義,自分を優位に立たせることを願う指導者
08/27,スカイブルー,Sky Blue,#a0d8ee,深慮遠謀・ファッション感覚・行動力,どんな装いもフィットするロマンチスト
08/28,アクアグレイ,Aqua Gray,#5d9cbf,芸術・感性・想像力,どんな分野でも主役を望むクリエーター
08/29,ペールサルビアブルー,Peer Salvia Blue,#4b7cb6,かぐわしさ・献身的行為・気品,人脈づくりを得意とする慎重派
08/30,ウルトラマリーン,Ultra Marine,#356cac,母性愛・音楽・気品,心の琴線にふれる旋律を奏でる思いやりあふれる人
08/31,紫紺,しこん,#460e44,自己管理・知的権威・居丈高,人の上に立つオピニオンリーダー
09/01,フレッシュグリーン,Freshgreen,#7dbb7c,教養・繊細・慎ましさ,やさしく甘い声で語る恋愛小説のヒロイン
09/02,牧草色,ぼくそういろ,#368a56,頑固・公明正大・努力,自己犠牲をも辞さない尊敬すべき人
09/03,ホリーブリーン,Holly Green,#016257,知覚・優しさ・創作意欲,ユートピアを夢見る文学少女
09/04,ビリジャン,Billi Jean,#006b35,好奇心・スリル・自発的,冷静な判断力を持つ客観的な人
09/05,鉄色,てついろ,#005243,虚栄心・善悪の区別・秩序,少しずつ真理に近づく高潔な人
09/06,海松藍色,みるあいいろ,#003d26,自分自身・エネルギー・努力,努力を惜しまない努力家
09/07,淡水色,うすみずいろ,#6ebdc2,調和・情熱・純粋,社会の役立つことに生きがいを感じる人
09/08,アクアマリン,Aquamarine,#67b5b7,冒険・トップの素質・臨機応変,良心を信条とするまじめな人
09/09,ディープティールグリーン,Deep Tyr Gree,#006069,思いやり・礼儀・心身の健康,好奇心を持ちつづける若々しい人
09/10,鉄紺,てつこん,#17184b,冷静・自己評価・独創,陣頭指揮をふるうすぐれた経営者
09/11,ブループリュス,Blue Plus,#003221,グルメ・思想家・文才,何でもわかりやすく表現できる才人
09/12,マルベリー,Circle Berry,#282b6e,大器・指導者・感性,自分が向かっている道を知る識者
09/13,パープルネイビー,Purple Navy,#28285a,こまやかさ・洗練・独創性,絵画のように繊細なロマンチス
09/14,タン,Tan,#bf783e,着想・努力・徹底追究,疑問が明らかになるまで調べる情熱家
09/15,褐色,かっしょく,#8a3b00,意志・好奇心・経験,我の強いストレートな人
09/16,テラコッタ,Terracotta,#bd6856,心情・伝統・主義主張,豪気で大胆な考え方を示す善人
09/17,浅葱鼠,あさぎねず,#7dbb7d,沈着冷静・直観・思いやり,安定した人柄で人から頼られるしっかり者
09/18,パウダーブルー,Powder Blue,#bccddb,冷静・温厚篤実・威厳,後進の指導を得意とする温厚な人
09/19,ライラックヘイジィ,Lilachazy,#7c7684,厳格・日本的・素質の開発,厳しさを糧に円熟の域に達する努力家
09/20,ライトレモン,Light Lemon,#fffcbf,憂愁・純粋・洗練,敏感な感性を持つ素直な人
09/21,ティーグリーン,Tea Green,#e3edc8,高潔・神秘主義・孤独,気高く汚れのない神秘主義者
09/22,ブールジョン,Bour John,#edee9e,楽しい会話・快活・折り目正しさ,気持ちよい雰囲気をつくりだす朗らかな人
09/23,ジョーンシトロン,Joan Lemonade,#ebe960,公正さ・自力・自己犠牲,手ごたえを本格的に感じる野心家
09/24,鶸色,ひわいろ,#d7cf3a,勝負・好機・直観,しきたりを打破して突進する情熱家
09/25,サンオレンジ,Sun Orange,#fdb86d,配慮・構想・瞬発力,環境に影響を受けやすいナイーブな人
09/26,タンジェリンオレンジ,Tangerine Orange,#f37f44,責任感・熟考・オリジナル,模倣を嫌い独特の発想をする人
09/27,タイガーリリー,Tiger Lily,#f16f4f,生命力・先駆者・勇気,奇想天外な着想をするパイオニア
09/28,緋色,ひいろ,#d3381c,夢・尊敬・構想,崇高な雰囲気で尊敬できる人
09/29,オペラ,Opera,#e95388,天真爛漫・強靭な精神・鋭さと温かさ,ひとつのことに集中できる人
09/30,アマランスパープル,Amaranth Purple,#89438c,現実・本質・探求心,美しい場所を探し求めるロマンチスト
10/01,黄丹,おうに,#ee7948,訓練・生命力・リズム感,芸術とスポーツに秀でた活発な人
10/02,弁柄色,べんがらいろ,#8f2e14,陽気・創造・ほほえみ,誰からも愛される温かい心の持ち主
10/03,キャロットオレンジ,Carrot Orange,#ed6d35,パワー・充実・挑戦,ひとりぼっちを好まない社交的な人
10/04,フレイムオレンジ,Frame Orange,#ec5415,感性・怜悧・美貌,感情を包み隠した情熱家
10/05,丁字色,ちょうじいろ,#c78a77,保守的・義務感・責任感,気まぐれな行動を許せない合理主義者
10/06,シナモン,Cinnamon,#be8f68,体調・精神の安定・安らぎ,非凡なものが直感的にわかる人
10/07,カフェオレ,Cafe Au Lait,#946c45,知識・たくましさ・決断力,料理好きで旺盛な生活力の持ち主
10/08,煉瓦色,れんがいろ,#b55233,安楽・幸せ・自由,自然と一体化できる自由人
10/09,テラローザ,Terra Rosa,#7b411c,理論的・感受性・危険回避,新しい境地を開く驚異の人
10/10,オーカー,Ochre,#ba8b40,知力・先見の明・人間の理解,あくことなき探求心の持ち主
10/11,キャメル,Camel,#b76651,記憶力・想像力・才能,衝動的な言動をすることない正直な人
10/12,バーントシエンナ,Burnt Sienna,#823616,個性・壮大・想像力,素朴な優しさを持つ奥ゆかしい人
10/13,栗皮茶,くりかわちゃ,#6d3c32,スタミナ・神秘的・保守的,いつも音楽とともにある健康な人
10/14,セピア,Sepia,#622d18,教養・初々しさ・独創性,豊かな感性を持つ気まぐれな人
10/15,代赭,たいしゃ,#bb5520,母性愛・自己啓発・洞察力,機知に富む聡明な人
10/16,トパーズ,Topaz,#e9bc00,優等生・入念・慎重,自分らしさを出す才人
10/17,オーキッドホワイト,Orchid White,#d7d0ca,清らか・理解力・思いやり,おだやかな心で度量が大きい人
10/18,パールグレイ,Pearl Gray,#c9c9c4,活発・優美・威厳,静と動がほどよく融和した魅力の持ち主
10/19,銀鼠,ぎんねず,#afafb5,慎ましさ・礼儀・気品,思いやり深く気品に満ちた人
10/20,マウスグレイ,Mouse Gray,#7d7d7d,自然の法則・慣習・試行錯誤,着実で堅固な生活を送る平和主義者
10/21,鳩羽鼠,はとばねずみ,#9e8b8e,宗教的・禁欲・叙情性,神聖な思索で人間性を回復する人
10/22,石版色,せきばんいろ,#585c5b,文化・喧騒・都会的,仕事一途の合理主義者
10/23,芥子色,からしいろ,#d0af4c,自信・記憶力・不屈の精神,構想をじっくりと練り実現させる自信家
10/24,シーモス,Seamos,#646f2d,情熱・協力・夢,基礎となる考えがしっかりしている人
10/25,ローズグレイ,Rose Gray,#9d8e87,丁寧・敬意・静叙,控えめで慎ましく振る舞う落ち着いた人
10/26,ライトターコイズ,Light Turquoise,#548778,自力本願・指導者・活路,常に冷静で思慮深く行動する人
10/27,錆納戸,さびなんど,#476b6b,継続・安らぎ・自然,いつも新しい目標に挑戦するチャレンジャー
10/28,鳩羽紫,はとばむらさき,#6c6a6d,前向き・潔癖・気品,行動で学ぶことをモットーにする実践主義者
10/29,栗色,くりいろ,#665951,強情・健康・穏健,穏健でも自分の考えを譲らない
10/30,ビンヤード,Vineyard,#83515d,経験・目的と手段・相談相手,心配や難問の解決に力を貸す頼もしい人
10/31,ライラック,Lilac,#d1bada,機知・理論的・勇猛果敢,ものごとを成功させるために燃える情熱家
11/01,駱駝色,らくだいろ,#bf794e,経営力・自信と誇り・我慢,自信と気力に満ちた才腕をふるう人
11/02,小鹿色,こじかいろ,#8b724a,洞察力・現実派・柔軟性,何にも左右されない強い意志の持ち主
11/03,黒茶色,くろちゃいろ,#583822,公正・高潔・信頼,人からの助けを大切にできる人
11/04,トープ,Taupe,#504946,感覚・職人わざ・至高,自分の仕事に誇りを持てる自信家
11/05,チャコールグレイ,Charcoal Gray,#4e454a,信念・男性的・礼儀作法,義理人情に厚く人助けが好きな人
11/06,ジョーンドナープル,Joan Donor Pull,#ffcc7b,気くばり・予感・バランス,思考と行動のバランスをとれる人
11/07,サンフラワー,Sunflower,#feb75b,タイミング・行動のリズム・美学のセンス,ものごとを両面から見てとれる創造者
11/08,ナスタチウムオレンジ,Nastatium Orange,#f5811e,組織・バランス・協調性,人間関係の機微を心得た人
11/09,樺色,かばいろ,#cd5e3c,楽天主義・大胆・向上心,自分自身の力を信じることのできる人
11/10,タバコブラウン,Tobacco Brown,#8d6029,意地・自信・親身,打ち明け話に聞き入る優しい人
11/11,ペールクリーム,Peer Cream,#ffdfac,用意周到・創造力・静けさ,たぐいまれな品格ある感性の持ち主
11/12,砂色,すないろ,#dcd3b2,健康・熟練・芸術,努力と精進により頂点を極める人
11/13,アッシュグレイ,Ashe Gray,#9fa09e,堅実さ・公正な判断・仕事,寸暇を惜しんで仕事に励む働き者
11/14,ガンメタル,Gunmetal,#55461b,スタミナ・母性本能・組織力,感情に走らない誠実で保守的な人
11/15,墨色,すみいろ,#473a17,神秘的・強固な意志・独立心,夢や希望をいっぱい持つ情熱家
11/16,桜貝色,さくらがいいろ,#fababa,不偏的な愛・ロマンチック・上品,教養豊かな洗練された好みの人
11/17,オーキッドピンク,Orchid Pink,#da81b2,しとやか・喜び・献身,代償を求めない献身的な愛の持ち主
11/18,マーシュローズ,Marshu Rose,#b4766b,信望・挑戦・育成,知識や学問をひとつひとつ身につける博識家
11/19,クラーレット,Claret,#b1585c,教養・感性・精神力,上品であか抜けた絶世の美人
11/20,ダブグレイ,Dove Gray,#7d7b83,気まぐれ・おおらか・芸術,心身ともに燃えるような生命力の持ち主
11/21,ペールサロー,Peer Sarrau,#c8ceac,せんさく・友人・うぬぼれ,二番になることを好まない自信家
11/22,抹茶色,まっちゃいろ,#bbc8ac,信条・理想・器量,目標達成のため猛然とアクションを起こす人
11/23,灰汁色,あくいろ,#9e9478,目的意識・責任感・集中力,新しいことに意欲を燃やす挑戦者
11/24,鉛色,なまりいろ,#7b7c7d,感情回避・孤独・冷静沈着,いつも心をコントロールする傍観者
11/25,オフブラック,Off Black,#39423f,保守的・きまぐれ・厳粛,人から威厳と神秘の風貌に見られる人
11/26,ペールアプリコット,Peer Apricot,#fdb58f,温かさ・中立・芸術,社会にうまく順応する実践派
11/27,肌色,はだいろ,#fce2c4,自活力・現実主義・正直,現象から本質を導き出す理論派
11/28,サンタン,Suntan,#b47226,現実主義・実践・懐疑,十分に見定めないと気がすまない実践者
11/29,ブリックレッド,Brick Red,#8c6b4a,自信・集中力・自力,失望や落胆を嫌う慎重派
11/30,枯葉色,かれはいろ,#54513e,信念・基礎・信頼,自分をしっかりと保つことができる信念の人
12/01,亜麻色,あまいろ,#d6c6af,文化的志向・気取りや・色彩感,美しさに魅力を感じる芸術家
12/02,ハニースイート,Honey Suite,#caa980,のんき・向上心・文化,安心感を保証するものにひかれる人
12/03,栗梅,くりうめ,#852e19,本質・実践・実績,空想にふけるより実践する人
12/04,タウニーオリーブ,Tauni Olive,#5d5644,個性・毅然・社交的,大胆で勇気ある人
12/05,黒紫,くろむらさき,#4e4b3a,貯蓄・信念・慎ましさ,流行を気にしない教養の深い学者タイプ
12/06,シトロングレイ,Citron Gray,#e5cc96,才気縦横・機知・母性愛,途方もない夢を抱く感性豊かな人
12/07,ペールライムライト,Pale Lime Light,#e6d89b,屋外・外交的・気前,汗水を流して働くまじめな人
12/08,菜種油色,なたねゆいろ,#a69425,日常・泰然自若・信頼,気持ちにむらがなく信用を集める人
12/09,オイルイエロー,Oil Yellow,#b4935d,安定・冷静沈着・貫徹,困難な境遇にも動揺しないしっかり者
12/10,ブロンズ,Bronze,#ac6b25,保守的・実践派・行動力,人目につくことを嫌う控えめな人
12/11,シーシェルピンク,Sea Shell Pink,#fbbaa8,清潔・ロマンチック・かわいらしさ,身のこなしすべてに優雅さを漂わす人
12/12,鮭色,さけいろ,#f79383,ユニーク・決断力・積極性,困難を恐れず行動するアイデアマン
12/13,洗朱,あらいしゅ,#f4816f,移り気・優しさ・人間関係,人に大きな楽しみを与える気まぐれ者
12/14,朱色,しゅいろ,#eb6101,社交的・人脈・緩急自在,そこにいるだけで魅力を発散する人
12/15,バートンオレンジ,Burnt Orange,#b16268,衝動的・情緒・表現力,いつも気持ちが外に向かうスポーツタイプ
12/16,ベージュホワイト,Beige White,#fdceba,理性・忍耐・思いきり,自分の力で危機から脱却する勇者
12/17,ベージュ,Beige,#eedcb3,バランス・人なつこさ・温かさ,まわりの人を明るくする存在の人
12/18,ブラウンゴールド,Brown Gold,#b4766d,清純・感情の隠蔽・夢を追う,とりとめのない夢を追う心の温かい人
12/19,飴色,あめいろ,#deb068,学問・家庭・精神的充足,頑固で自分勝手な人を嫌う正直な人
12/20,ヒーザー,Heather,#715c61,安定感・信念・活路,楽しさを求めるユーモア人
12/21,リラ,Lilla,#e0b5d3,高尚・上品・明晰, 心身ともに洗練された人
12/22,ヘリオトロープ,Heliotrope,#9079b6,感性・高貴・若々しさ,ロマンチックな気分に満たされた人
12/23,菖蒲色,ショウブイロ,#674196,神秘的・芸術的・哲学的,おとぎの国の生活を夢見る人
12/24,エッグプラント,Egg Plant,#241b36,保守的・厳粛・安心感,まじめで真剣に行動するしっかり者
12/25,茄子紺,なすこん,#824880,心配性・審美眼・洗練,世間から目をそらす引っ込み思案な人
12/26,ゴールド,Gold,#e6b422,理想・おおらか・花形,強力な保護者になるしっかり者
12/27,サロー,Sarrau,#afb293,威厳・自己愛・自責,自分自身を財産だと思える自信家
12/28,ジョーンミエル,Joan Miel,#cb981b,誇り・見識・気まぐれ,財産に恵まれた太っ腹な人
12/29,マスタード,Mustard,#b2a280,静穏・調和・エコロジー,慈愛に満ちた世界観の持ち主
12/30,オータムリーフ,Autumnleaf,#b26724,奥義・自信・ロマンチック,多くの人の後ろ盾となる人
12/31,ターコイズブルー,Turquoise Blue,#00afcc,個性・比較・シンプル,個性的な人